word,solved,guesses,attempts
crump,1,soare-briny-thump-crump,4
medal,1,soare-clean-metal-medal,4
fjord,1,soare-hyoid-fjord,3
lithe,1,soare-tuile-lithe,3
grime,1,soare-price-bundt-grime,4
picky,1,soare-linty-pized-gecko-picky,5
cocoa,1,soare-tical-choom-cocoa,4
gourd,1,soare-crudy-gourd,3
mangy,1,soare-canty-maund-agila-mangy,5
latch,1,soare-canty-bitch-lymph-latch,5
swell,1,soare-spelt-shawl-swell,4
glean,1,soare-clean-glean,3
mouse,1,soare-pious-halma-mouse,4
adore,1,soare-adore,2
olive,1,soare-clonk-olive,3
ultra,1,soare-hairy-album-ultra,4
lunar,1,soare-rainy-lunar,3
sorry,1,soare-sorry,2
foggy,1,soare-bludy-goofs-foggy,4
puree,1,soare-price-agger-puree,4
mound,1,soare-bludy-hound-flimp-mound,5
spurn,1,soare-thilk-spurn,3
token,1,soare-manly-waked-token,4
awake,1,soare-alive-agate-amaze-awake,5
arose,1,soare-arose,2
patsy,1,soare-pasty-patsy,3
smoke,1,soare-stank-amped-smoke,4
decor,1,soare-older-decor,3
class,1,soare-clash-alaps-class,4
tenth,1,soare-inlet-tenth,3
cache,1,soare-gault-chivy-cache,4
cinch,1,soare-linty-milch-cowps-cinch,5
slump,1,soare-flint-plumy-slump,4
squat,1,soare-salty-squat,3
brave,1,soare-gitch-dumka-brave,4
lilac,1,soare-canty-ailed-lilac,4
mouth,1,soare-bludy-match-mouth,4
fewer,1,soare-cider-letup-fawns-fewer,5
abort,1,soare-acorn-agita-abort,4
truss,1,soare-brust-truss,3
pleat,1,soare-clean-bepat-pleat,4
offal,1,soare-aloft-offal,3
crest,1,soare-risen-chats-crest,4
melee,1,soare-tuile-moled-melee,4
rinse,1,soare-vertu-rinse,3
queer,1,soare-cider-letup-beefy-queer,5
stony,1,soare-chout-bloop-stony,4
clean,1,soare-clean,2
frock,1,soare-crout-frock,3
scion,1,soare-chout-scion,3
newer,1,soare-cider-letup-fawns-newer,5
alone,1,soare-abode-twank-alone,4
shave,1,soare-thilk-damps-shave,4
stomp,1,soare-chout-bloop-stomp,4
equal,1,soare-clean-metal-equal,4
dough,1,soare-bludy-hound-dough,4
shrug,1,soare-shtup-befog-shrug,4
enema,1,soare-clean-amend-enema,4
clown,1,soare-biont-clown,3
radar,1,soare-rainy-pujah-radar,4
creed,1,soare-cider-creed,3
humid,1,soare-linty-quich-humid,4
lingo,1,soare-biont-daals-lingo,4
vocal,1,soare-tical-favel-vocal,4
semen,1,soare-spelt-hemin-semen,4
agree,1,soare-barge-agree,3
exert,1,soare-certy-enfix-exert,4
decay,1,soare-clean-decay,3
frond,1,soare-crout-blown-figgy-frond,5
tryst,1,soare-brust-twiny-tryst,4
clasp,1,soare-clash-alaps-clasp,4
scuba,1,soare-salty-scuba,3
drawl,1,soare-train-crawl-baaed-drawl,5
sully,1,soare-flint-hulky-sully,4
saint,1,soare-salty-actin-saint,4
booty,1,soare-bludy-stobs-booty,4
deity,1,soare-inlet-tepid-deity,4
minim,1,soare-linty-milch-minim,4
racer,1,soare-later-grype-waker-acred-racer,6
hussy,1,soare-mushy-abask-hussy,4
ennui,1,soare-inlet-ennui,3
filmy,1,soare-linty-dolma-filmy,4
spunk,1,soare-flint-spunk,3
inlay,1,soare-canty-inlay,3
stink,1,soare-flint-aking-stink,4
ascot,1,soare-mason-ascot,3
cycle,1,soare-tuile-belch-cycle,4
twixt,1,soare-linty-thack-twixt,4
quart,1,soare-audit-quart,3
snare,1,soare-chant-snare,3
awful,1,soare-canty-apiol-awful,4
check,1,soare-inlet-beady-check,4
outgo,1,soare-biont-adage-outgo,4
ocean,1,soare-oaken-ocean,3
scram,1,soare-strap-scram,3
quiet,1,soare-inlet-quiet,3
usurp,1,soare-usurp,2
kappa,1,soare-canty-milpa-kappa,4
plier,1,soare-cider-flint-plier,4
mafia,1,soare-canty-milpa-mafia,4
erect,1,soare-cider-retch-erect,4
ditch,1,soare-linty-dight-ditch,4
macro,1,soare-acorn-macro,3
gaffe,1,soare-gault-gaffe,3
torso,1,soare-worst-torso,3
taint,1,soare-canty-daunt-taffy-taint,5
mange,1,soare-gault-banda-mange,4
ample,1,soare-gault-amped-ample,4
level,1,soare-inlet-bezil-javel-level,5
relax,1,soare-later-regal-ataxy-relax,5
spore,1,soare-chant-pwned-spore,4
teary,1,soare-handy-tawai-teary,4
flier,1,soare-cider-flint-flier,4
lucky,1,soare-linty-campi-lucky,4
gumbo,1,soare-biont-gadje-gumbo,4
horde,1,soare-burgh-horde,3
aging,1,soare-canty-align-agape-aging,5
milky,1,soare-linty-dolma-milky,4
golly,1,soare-bludy-hotly-wilco-fadge-golly,6
vital,1,soare-canty-tidal-vital,4
flock,1,soare-biont-flock,3
organ,1,soare-manor-gaols-organ,4
unset,1,soare-guest-apian-unset,4
aside,1,soare-basti-aside,3
cadet,1,soare-clean-cadgy-cadet,4
hobby,1,soare-bludy-hobby,3
crone,1,soare-piend-crone,3
bawdy,1,soare-canty-godly-bawdy,4
grace,1,soare-gitch-grace,3
trick,1,soare-briny-flack-capot-trick,5
choir,1,soare-crout-choir,3
antic,1,soare-canty-antic,3
point,1,soare-bludy-tonic-jaaps-point,5
skiff,1,soare-flint-skiff,3
birch,1,soare-briny-aceta-birch,4
weird,1,soare-certy-weird,3
peril,1,soare-cider-remit-peril,4
laden,1,soare-clean-laden,3
girly,1,soare-briny-dalts-girly,4
baste,1,soare-basti-baste,3
whiny,1,soare-linty-unify-whiny,4
stack,1,soare-thilk-acing-stack,4
squib,1,soare-flint-sushi-squib,4
rigor,1,soare-crout-vigor-rigor,4
floss,1,soare-glost-floss,3
nutty,1,soare-linty-nutty,3
sperm,1,soare-atman-sperm,3
venue,1,soare-tuile-vendu-venue,4
loopy,1,soare-bludy-hotly-loopy,4
rupee,1,soare-price-rupee,3
sling,1,soare-flint-aking-sling,4
pithy,1,soare-linty-pithy,3
amass,1,soare-clash-quais-amass,4
sneer,1,soare-wiper-uneth-sneer,4
goner,1,soare-vower-gryke-goner,4
gnash,1,soare-clash-awing-gnash,4
drape,1,soare-gitch-dumka-drape,4
blimp,1,soare-linty-child-blimp,4
genre,1,soare-thegn-genre,3
swept,1,soare-spelt-swept,3
crisp,1,soare-brust-champ-crisp,4
super,1,soare-wiper-super,3
kayak,1,soare-canty-kayak,3
digit,1,soare-linty-dight-digit,4
drill,1,soare-briny-flack-dagga-drill,5
stave,1,soare-thilk-agate-stave,4
dodgy,1,soare-bludy-nudge-dodgy,4
anime,1,soare-gault-abamp-anime,4
beady,1,soare-letch-beady,3
brace,1,soare-gitch-brace,3
berth,1,soare-cider-perky-routh-berth,5
elegy,1,soare-inlet-elegy,3
lunch,1,soare-linty-lunch,3
since,1,soare-cline-since,3
libel,1,soare-inlet-pibal-libel,4
worth,1,soare-north-fatwa-worth,4
etude,1,soare-tuile-chute-etude,4
gipsy,1,soare-mushy-giant-gipsy,4
worry,1,soare-crudy-lawed-worry,4
chili,1,soare-linty-child-aalii-chili,5
scant,1,soare-thilk-stand-scant,4
tonal,1,soare-tical-actin-tonal,4
cutie,1,soare-tuile-cutie,3
limit,1,soare-linty-might-limit,4
mercy,1,soare-cider-retch-mercy,4
twist,1,soare-mushy-blats-twist,4
vigor,1,soare-crout-vigor,3
crock,1,soare-crout-snowk-accoy-crock,5
riper,1,soare-cider-favel-tamps-pacer-riper,6
fever,1,soare-cider-letup-fawns-fever,5
askew,1,soare-ashen-wisht-askew,4
agent,1,soare-clean-amend-agent,4
parse,1,soare-paire-parse,3
quail,1,soare-clink-quack-quail,4
knife,1,soare-tuile-chank-knife,4
rumba,1,soare-rainy-boral-rumba,4
brook,1,soare-crout-blown-miked-brook,5
siren,1,soare-wiper-siren,3
circa,1,soare-rainy-vicar-circa,4
blind,1,soare-linty-black-blind,4
trice,1,soare-price-trice,3
livid,1,soare-linty-pavan-livid,4
boast,1,soare-batch-boast,3
hefty,1,soare-inlet-hefty,3
salon,1,soare-halon-salon,3
movie,1,soare-budge-mavie-movie,4
batch,1,soare-canty-bitch-batch,4
widen,1,soare-inlet-given-widen,4
third,1,soare-built-third,3
panic,1,soare-canty-mapau-panic,4
frail,1,soare-train-bagel-frail,4
acrid,1,soare-rainy-vicar-acrid,4
hilly,1,soare-linty-dolma-fowth-hilly,5
email,1,soare-letch-email,3
bunch,1,soare-linty-bumph-bunch,4
blunt,1,soare-linty-blunt,3
refer,1,soare-cider-letup-fawns-refer,5
sissy,1,soare-flint-sushi-sissy,4
cheat,1,soare-clean-adapt-cheat,4
scamp,1,soare-thilk-swamp-scamp,4
basal,1,soare-pasty-basil-basal,4
scent,1,soare-spelt-wheen-scent,4
slick,1,soare-flint-amuck-slick,4
silly,1,soare-flint-akela-silly,4
smith,1,soare-flint-ketch-smith,4
pedal,1,soare-clean-metal-ledge-pedal,5
cubic,1,soare-linty-quich-calpa-cubic,5
apron,1,soare-manor-apron,3
gusto,1,soare-glost-gusto,3
dumpy,1,soare-linty-dumpy,3
valor,1,soare-manor-valor,3
sedan,1,soare-steak-sedan,3
court,1,soare-crudy-court,3
fleet,1,soare-inlet-fleet,3
jumpy,1,soare-linty-dumpy-jumpy,4
snake,1,soare-thilk-snake,3
ripen,1,soare-cider-input-ripen,4
wench,1,soare-inlet-bench-wench,4
expel,1,soare-inlet-bezil-expat-expel,5
daddy,1,soare-canty-godly-damps-daddy,5
soapy,1,soare-soapy,2
roomy,1,soare-north-rocky-dooms-roomy,5
afire,1,soare-azuki-afire,3
duchy,1,soare-linty-dumpy-duchy,4
moult,1,soare-bludy-moult,3
oddly,1,soare-biont-oddly,3
bicep,1,soare-inlet-bicep,3
vault,1,soare-canty-fault-vault,4
cacti,1,soare-canty-cacti,3
found,1,soare-bludy-hound-flimp-found,5
forum,1,soare-north-fudgy-forum,4
slain,1,soare-thilk-algin-slain,4
trade,1,soare-gitch-trade,3
igloo,1,soare-biont-odium-igloo,4
octet,1,soare-melon-epoch-octet,4
hitch,1,soare-linty-dight-pshaw-hitch,5
corer,1,soare-vower-gryke-birch-corer,5
nerdy,1,soare-cider-nerdy,3
swami,1,soare-thilk-swami,3
palsy,1,soare-pasty-anlas-palsy,4
weigh,1,soare-inlet-edify-weigh,4
minus,1,soare-mushy-minus,3
infer,1,soare-cider-flint-infer,4
snaky,1,soare-thilk-snaky,3
shrew,1,soare-wiper-achar-shrew,4
child,1,soare-linty-child,3
recut,1,soare-cider-retch-recut,4
shiny,1,soare-flint-gulpy-shiny,4
flume,1,soare-tuile-fremd-flume,4
cloth,1,soare-biont-cloth,3
leapt,1,soare-letch-aping-leapt,4
revue,1,soare-price-nervy-revue,4
chirp,1,soare-built-chirp,3
showy,1,soare-chout-known-showy,4
twang,1,soare-clink-twang,3
fritz,1,soare-briny-flack-fritz,4
visor,1,soare-crost-visor,3
valid,1,soare-canty-milpa-valid,4
lever,1,soare-cider-letup-lever,4
lumen,1,soare-inlet-lumen,3
pulse,1,soare-guest-pulse,3
stood,1,soare-chout-bloop-stood,4
eager,1,soare-later-grype-elbow-eager,5
evade,1,soare-alive-evade,3
allot,1,soare-aloft-allot,3
spine,1,soare-cline-whaps-spine,4
forgo,1,soare-north-fudgy-forgo,4
tilde,1,soare-tuile-tilde,3
folio,1,soare-bludy-login-folio,4
tease,1,soare-chase-ablet-tease,4
blank,1,soare-clink-baffs-blank,4
media,1,soare-clean-matey-media,4
waist,1,soare-pasty-waist,3
offer,1,soare-older-futon-offer,4
annul,1,soare-canty-final-annul,4
chair,1,soare-train-chafe-chair,4
stoop,1,soare-chout-bloop-stoop,4
revel,1,soare-cider-great-anvil-revel,5
urban,1,soare-rainy-lunar-urban,4
papal,1,soare-canty-milpa-papal,4
exist,1,soare-guest-helix-exist,4
slant,1,soare-thilk-slant,3
below,1,soare-melon-below,3
rouse,1,soare-hurds-rouse,3
omega,1,soare-oaken-omega,3
shaft,1,soare-thilk-shaft,3
brick,1,soare-briny-brick,3
cheek,1,soare-inlet-check-cheek,4
dicey,1,soare-inlet-bicep-dicey,4
prick,1,soare-briny-flack-capot-prick,5
wooer,1,soare-vower-wooer,3
payee,1,soare-gault-chivy-pombe-payee,5
naive,1,soare-gault-chivy-navew-naive,5
macaw,1,soare-canty-magic-macaw,4
ounce,1,soare-clonk-ounce,3
cover,1,soare-vower-charm-cover,4
smite,1,soare-cline-empts-smite,4
skirt,1,soare-thilk-skirt,3
pagan,1,soare-canty-naval-pagan,4
rodeo,1,soare-vower-rodeo,3
crane,1,soare-gitch-avant-crane,4
river,1,soare-cider-favel-radge-river,5
delve,1,soare-tuile-moled-delve,4
purer,1,soare-cider-letup-purda-purer,5
coral,1,soare-moral-coral,3
built,1,soare-linty-built,3
suing,1,soare-flint-gulpy-suing,4
trash,1,soare-bachs-trash,3
topaz,1,soare-tical-dopey-topaz,4
unfed,1,soare-inlet-unfed,3
stoic,1,soare-chout-brick-stoic,4
trial,1,soare-rainy-taber-abled-trial,5
pouty,1,soare-bludy-pouty,3
intro,1,soare-hyoid-incut-intro,4
butch,1,soare-linty-butch,3
imbue,1,soare-tuile-imbar-imbue,4
wooly,1,soare-bludy-hotly-wilco-wooly,5
rusty,1,soare-brust-rusty,3
eight,1,soare-inlet-edict-eight,4
waxen,1,soare-clean-withe-waxen,4
lofty,1,soare-bludy-hotly-lofty,4
visit,1,soare-mushy-visit,3
idler,1,soare-cider-drill-idler,4
cobra,1,soare-cobra,2
demon,1,soare-melon-demon,3
erase,1,soare-erase,2
china,1,soare-canty-china,3
axial,1,soare-canty-apiol-axial,4
quell,1,soare-inlet-elegy-whelp-quell,5
flirt,1,soare-built-flirt,3
ruder,1,soare-cider-under-ruder,4
split,1,soare-flint-split,3
gamer,1,soare-later-grype-enzym-gamer,5
slush,1,soare-flint-plumy-slush,4
above,1,soare-abode-above,3
moist,1,soare-buist-fehme-moist,4
hyena,1,soare-clean-amend-hyena,4
feral,1,soare-later-regal-feral,4
jerky,1,soare-cider-perky-jerky,4
morph,1,soare-north-campi-morph,4
excel,1,soare-inlet-bezil-expat-excel,5
craft,1,soare-train-chaft-craft,4
stead,1,soare-steak-almud-stead,4
rover,1,soare-vower-charm-raile-rover,5
muddy,1,soare-linty-dumpy-muddy,4
gouge,1,soare-budge-gouge,3
saucy,1,soare-salty-cuspy-saucy,4
inner,1,soare-cider-flint-inner,4
femur,1,soare-cider-fable-femur,4
forte,1,soare-burgh-aceta-forte,4
billy,1,soare-linty-dolma-fowth-billy,5
bevel,1,soare-inlet-bezil-bevel,4
dying,1,soare-linty-daven-dying,4
shine,1,soare-cline-whaps-shine,4
gleam,1,soare-clean-bepat-gleam,4
tulip,1,soare-linty-built-tulip,4
icing,1,soare-linty-unzip-icing,4
parer,1,soare-later-grype-parch-parer,5
retry,1,soare-certy-retry,3
chuck,1,soare-linty-chump-chuck,4
earth,1,soare-later-earth,3
rugby,1,soare-briny-rugby,3
spoke,1,soare-stank-amped-spoke,4
plied,1,soare-inlet-pibal-plied,4
manor,1,soare-manor,2
vixen,1,soare-inlet-given-vixen,4
croup,1,soare-crout-croup,3
giant,1,soare-clink-giant,3
still,1,soare-flint-still,3
resin,1,soare-risen-resin,3
their,1,soare-cider-their,3
lobby,1,soare-bludy-nabla-lobby,4
alarm,1,soare-audit-alarm,3
sieve,1,soare-cline-agave-sieve,4
bayou,1,soare-aloft-bacon-bayou,4
nerve,1,soare-price-nervy-nerve,4
motif,1,soare-bludy-tonic-metif-motif,5
sooty,1,soare-gouty-sooty,3
await,1,soare-clink-await,3
cabby,1,soare-canty-labda-cabby,4
steam,1,soare-steak-almud-steam,4
aunty,1,soare-canty-aunty,3
alpha,1,soare-canty-apiol-alpha,4
stair,1,soare-stair,2
bough,1,soare-bludy-bough,3
other,1,soare-older-futon-other,4
chute,1,soare-tuile-chute,3
undue,1,soare-tuile-vendu-undue,4
tenet,1,soare-inlet-tenet,3
harsh,1,soare-marsh-harsh,3
tepid,1,soare-inlet-tepid,3
stilt,1,soare-flint-ataps-stilt,4
candy,1,soare-canty-aband-candy,4
wight,1,soare-linty-dight-fatwa-wight,5
deter,1,soare-cider-fetor-deter,4
finer,1,soare-cider-favel-boxen-finer,5
spree,1,soare-cupel-spree,3
gayly,1,soare-canty-godly-aiyee-gayly,5
gooey,1,soare-manly-coped-gooey,4
usher,1,soare-risen-erhus-usher,4
crepe,1,soare-price-crepe,3
comic,1,soare-bludy-tonic-comic,4
shorn,1,soare-chant-shorn,3
elite,1,soare-tuile-elite,3
guard,1,soare-audit-guard,3
droit,1,soare-crout-fiend-droit,4
drove,1,soare-piend-deave-drove,4
light,1,soare-linty-might-light,4
glare,1,soare-blaff-glare,3
dirge,1,soare-price-dirge,3
terra,1,soare-alert-extra-terra,4
musty,1,soare-mushy-akita-musty,4
atone,1,soare-abode-twank-atone,4
crier,1,soare-cider-crier,3
dunce,1,soare-tuile-fudge-dunce,4
