word,solved,guesses,attempts
cigar,1,soare-rainy-vicar-cigar,4
rebut,1,soare-cider-perky-rebut,4
sissy,1,soare-flint-sushi-sissy,4
humph,1,soare-linty-chump-humph,4
awake,1,soare-alive-agate-awake,4
blush,1,soare-mushy-bufty-blush,4
focal,1,soare-tical-favel-focal,4
evade,1,soare-alive-evade,3
naval,1,soare-canty-pagan-naval,4
serve,1,soare-puces-serve,3
heath,1,soare-letch-hamed-heath,4
dwarf,1,soare-audit-child-dwarf,4
model,1,soare-manly-doter-model,4
karma,1,soare-rainy-pucka-karma,4
stink,1,soare-flint-klong-stink,4
grade,1,soare-gitch-drops-grade,4
quiet,1,soare-inlet-quiet,3
bench,1,soare-inlet-bunch-bench,4
abate,1,soare-alive-agate-abate,4
feign,1,soare-inlet-deign-feign,4
major,1,soare-manor-yojan-major,4
death,1,soare-letch-hamed-death,4
fresh,1,soare-wiser-crest-drops-fresh,5
crust,1,soare-crust,2
stool,1,soare-chout-pylon-stool,4
colon,1,soare-bludy-login-colon,4
abase,1,soare-chuse-ablet-abase,4
marry,1,soare-hairy-campi-marry,4
react,1,soare-mitch-react,3
batty,1,soare-canty-bufty-batty,4
pride,1,soare-prime-cnida-pride,4
floss,1,soare-glost-floss,3
helix,1,soare-inlet-helix,3
croak,1,soare-manor-byked-croak,4
staff,1,soare-thilk-stand-flump-staff,5
paper,1,soare-later-grype-parch-paper,5
unfed,1,soare-inlet-unwed-unfed,4
whelp,1,soare-inlet-whelk-whelp,4
trawl,1,soare-train-mulct-trawl,4
outdo,1,soare-biont-sedge-outdo,4
adobe,1,soare-abode-adobe,3
crazy,1,soare-train-crawl-mincy-crazy,5
sower,1,soare-bower-sower,3
repay,1,soare-later-creak-sophy-repay,5
digit,1,soare-linty-dight-digit,4
crate,1,soare-gitch-crate,3
cluck,1,soare-linty-clump-cluck,4
spike,1,soare-elint-speck-spike,4
mimic,1,soare-linty-caved-mimic,4
pound,1,soare-bludy-hound-whomp-pound,5
maxim,1,soare-canty-milpa-maxim,4
linen,1,soare-inlet-sanko-linen,4
unmet,1,soare-inlet-unmet,3
flesh,1,soare-guest-blahs-flesh,4
booby,1,soare-bludy-stobs-booby,4
forth,1,soare-north-whiff-forth,4
first,1,soare-crust-first,3
stand,1,soare-thilk-stand,3
belly,1,soare-inlet-blech-belly,4
ivory,1,soare-hyoid-ivory,3
seedy,1,soare-spelt-sheik-seedy,4
print,1,soare-briny-paged-print,4
yearn,1,soare-handy-yearn,3
drain,1,soare-train-badge-drain,4
bribe,1,soare-prime-bundt-bribe,4
stout,1,soare-chout-inept-stout,4
panel,1,soare-clean-pangs-panel,4
crass,1,soare-chugs-crass,3
flume,1,soare-tuile-fremd-flume,4
offal,1,soare-aloft-offal,3
agree,1,soare-large-agree,3
error,1,soare-older-terns-error,4
swirl,1,soare-thilk-swirl,3
argue,1,soare-large-argue,3
bleed,1,soare-inlet-bezil-pened-bleed,5
delta,1,soare-clean-bagel-dault-delta,5
flick,1,soare-linty-child-flick,4
totem,1,soare-manly-compt-totem,4
wooer,1,soare-vower-wooer,3
front,1,soare-crout-fiend-front,4
shrub,1,soare-shtup-boong-shrub,4
parry,1,soare-hairy-campi-parry,4
